	DepSM	Tv290C	Potemp090C	Sal00	Density00	FlECO-AFL	TurbWETntu0	Par/sat/log	SbeopoxML/L	SbeopoxMg/L	WetCDOM	Ph
	0.200	25.9571	25.9570	32.3013	1021.0122	-0.1964	2.0070	7.2180e+02	4.915	7.023	-0.4717	8.001
	0.400	27.0720	27.0719	33.9483	1021.9039	-0.1542	6.1799	5.7180e+02	4.870	6.960	-0.4670	8.352
	0.600	27.5342	27.5340	33.7499	1021.6082	0.0365	4.8854	3.3293e+02	4.875	6.967	0.5780	8.521
	0.800	27.5364	27.5362	33.7294	1021.5930	0.4075	1.6636	4.0098e+02	4.876	6.967	-0.3729	8.587
	1.000	27.4643	27.4641	33.7423	1021.6267	0.4073	1.6805	3.1092e+02	4.875	6.967	-0.6494	8.623
	1.200	27.4738	27.4736	33.7078	1021.5985	0.3983	1.6957	3.3299e+02	4.876	6.968	-0.6279	8.655
	1.400	27.5131	27.5128	33.6932	1021.5758	0.3843	1.8915	3.4489e+02	4.713	6.736	-0.6433	8.699
	1.600	27.3979	27.3975	33.9471	1021.8047	0.4067	1.7004	3.7129e+02	4.544	6.494	-0.6351	8.894
	1.800	27.5370	27.5365	33.8121	1021.6593	0.5457	1.9279	3.1838e+02	4.531	6.475	-0.6583	8.904
	2.000	27.5914	27.5909	33.7641	1021.6065	0.4324	1.7957	3.2591e+02	4.536	6.483	-0.6610	8.901
	2.200	27.6018	27.6013	33.7421	1021.5875	0.4084	1.7051	3.2504e+02	4.537	6.484	-0.6559	8.902
	2.400	27.6049	27.6043	33.7562	1021.5980	0.3996	1.7362	2.8957e+02	4.530	6.474	-0.6301	8.904
	2.600	27.6042	27.6036	33.7187	1021.5708	0.3962	1.7267	2.5060e+02	4.510	6.445	-0.6281	8.904
	2.800	27.6053	27.6047	33.7507	1021.5954	0.3823	1.7157	2.5634e+02	4.511	6.446	-0.6475	8.905
	3.000	27.5951	27.5944	33.7796	1021.6213	0.3865	1.7041	2.4732e+02	4.510	6.445	-0.6594	8.908
	3.200	27.5741	27.5734	33.7502	1021.6068	0.4110	1.6849	2.2326e+02	4.510	6.445	-0.6373	8.908
	3.400	27.5825	27.5817	33.7469	1021.6026	0.3953	1.6843	2.4561e+02	4.511	6.446	-0.6113	8.911
	3.600	27.5934	27.5925	33.7486	1021.6012	0.4477	1.7452	2.0347e+02	4.528	6.472	-0.6349	8.912
	3.800	27.5956	27.5948	33.7701	1021.6174	0.4682	1.7321	2.2409e+02	4.537	6.484	-0.6550	8.913
	4.000	27.5920	27.5910	33.7975	1021.6401	0.4662	1.7066	2.1606e+02	4.537	6.484	-0.6574	8.913
	4.200	27.4853	27.4844	33.8719	1021.7312	0.4255	1.6869	2.0368e+02	4.535	6.481	-0.6357	8.917
	4.400	27.4200	27.4190	33.9108	1021.7823	0.4556	1.6435	2.0033e+02	4.534	6.479	-0.6317	8.918
	4.600	27.4215	27.4204	33.9012	1021.7755	0.4334	1.6624	1.9287e+02	4.521	6.461	-0.6380	8.919
	4.800	27.4237	27.4226	33.9235	1021.7924	0.4086	1.6800	1.7090e+02	4.515	6.453	-0.6446	8.921
	5.000	27.4201	27.4189	33.9260	1021.7964	0.3935	1.7051	1.7510e+02	4.515	6.453	-0.6227	8.922
	5.200	27.4142	27.4129	33.9314	1021.8032	0.3816	1.7215	1.6361e+02	4.515	6.453	-0.6197	8.922
	5.400	27.4125	27.4113	33.9292	1021.8029	0.3885	1.6634	1.7109e+02	4.515	6.453	-0.6408	8.922
	5.600	27.4286	27.4273	33.9108	1021.7848	0.3989	1.7973	1.7082e+02	4.514	6.451	-0.6534	8.922
	5.800	27.4832	27.4818	33.8858	1021.7493	0.4562	1.7167	1.4225e+02	4.513	6.449	-0.6511	8.924
	6.000	27.4968	27.4954	33.9033	1021.7589	0.4196	1.7339	1.4210e+02	4.512	6.448	-0.6558	8.925
	6.200	27.3916	27.3902	33.9717	1021.8450	0.4001	1.7172	1.3267e+02	4.510	6.445	-0.6548	8.925
	6.400	27.3401	27.3386	34.0041	1021.8868	0.3888	1.8169	1.4942e+02	4.509	6.443	-0.6273	8.926
	6.600	27.2995	27.2980	34.0069	1021.9029	0.4123	1.8559	1.3390e+02	4.499	6.429	-0.6475	8.925
	6.800	27.1920	27.1905	34.0789	1021.9923	0.3990	1.7102	1.1303e+02	4.476	6.396	-0.6544	8.929
	7.000	27.0994	27.0978	34.1416	1022.0699	0.4120	1.7825	1.2539e+02	4.472	6.390	-0.6578	8.929
	7.200	27.0074	27.0057	34.2097	1022.1514	0.3947	1.6965	1.1514e+02	4.469	6.387	-0.6173	8.930
	7.400	26.9716	26.9699	34.2562	1022.1986	0.3879	1.7735	1.1816e+02	4.468	6.385	-0.5977	8.930
	7.600	26.9645	26.9627	34.2751	1022.2160	0.3903	1.6486	1.0845e+02	4.468	6.385	-0.6286	8.931
	7.800	26.9676	26.9658	34.2867	1022.2246	0.3906	1.6941	9.6674e+01	4.443	6.350	-0.6921	8.930
